soc_code,edu_mean,edu_p50,edu_p75,edu_p90,n_wt
519111,12.066,12.5,14,14,221888
519151,14.905,14,18,18,21725
519191,12.327,12.5,14,14,7187
519194,14.063,14,16,18,8633
519195,13.556,13,14,18,28239
519196,12.546,12.5,14,16,20417
519197,13.396,13,14,14,13123
519198,12.376,12.5,14,18,37015
532031,15.76,16,18,18,97274
533011,14.049,14,14,18,11228
533053,13.785,14,14,18,415127
533054,13.785,14,14,18,415127
533099,13.875,14,14,18,46097
534031,14.378,14,16,18,51500
536021,13.581,13,14,18,57571
536031,12.944,12.5,14,16,59442
536051,14.181,14,16,18,41420
536061,13.572,13,14,16,29253
537021,12.873,12.5,14,14,56624
537051,12.605,12.5,14,14,504233
537061,12.313,12.5,14,14,248202
537062,12.814,12.5,14,16,1667879
537063,12.687,12.5,14,16,21145
537064,11.96,12.5,14,14,379067
537081,12.39,12.5,14,14,86425
