gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,flow
10,4.58359589402531,Physical_Terminal,0.367133233271667,0.361879123180565,0.372074941533736,28649,1,Abandonment
5,-0.57205401518073,SC_Specialized,0.23828894840568,0.234106700692304,0.242622795492445,39578,1.1,Abandonment
3,-2.06803862642912,SC_Specialized,0.287472131709827,0.28123285028297,0.292941819584977,23324,1.1,Abandonment
4,-1.30164794064186,SC_Specialized,0.253976429242282,0.24898885084982,0.259317720483534,33007,1.1,Abandonment
6,0.126166102556859,SC_Specialized,0.235730485730486,0.23142955017955,0.239747920997921,42328,1.1,Abandonment
2,-2.88282979680337,SC_Specialized,0.31624788520584,0.309417883326023,0.323018359546338,15959,1.1,Abandonment
1,-4.68844749231167,SC_Specialized,0.404949381327334,0.395432602174728,0.413622515935508,10668,1.1,Abandonment
8,1.68512074777628,SC_Specialized,0.218106643855147,0.214126746506986,0.222329626461363,35070,1.1,Abandonment
7,0.861759087300788,SC_Specialized,0.217577861344133,0.213430479220904,0.221326897116961,41484,1.1,Abandonment
9,2.60985316263842,SC_Specialized,0.21824686940966,0.21245995756542,0.223968257270042,24037,1.1,Abandonment
10,4.58359589402531,SC_Specialized,0.230104216011369,0.224005210800568,0.236558503079109,16888,1.1,Abandonment
4,-1.30164794064186,SC_Scaffolding,0.344428980128354,0.338707183174824,0.350250328616717,25866,1.1,Abandonment
5,-0.57205401518073,SC_Scaffolding,0.317725432696905,0.312968157332738,0.322731329487139,31373,1.1,Abandonment
3,-2.06803862642912,SC_Scaffolding,0.393976221928666,0.387474240422721,0.400608982826948,18925,1.1,Abandonment
2,-2.88282979680337,SC_Scaffolding,0.45148910039914,0.442848096407737,0.459669557875345,13028,1.1,Abandonment
6,0.126166102556859,SC_Scaffolding,0.298805361305361,0.294055944055944,0.303672785547786,34320,1.1,Abandonment
1,-4.68844749231167,SC_Scaffolding,0.567832898172324,0.557582245430809,0.577913838120104,9575,1.1,Abandonment
8,1.68512074777628,SC_Scaffolding,0.269922206968687,0.265034810747205,0.275413479767275,30594,1.1,Abandonment
7,0.861759087300788,SC_Scaffolding,0.278436865727109,0.273834367227924,0.282846402332695,34981,1.1,Abandonment
9,2.60985316263842,SC_Scaffolding,0.270708955223881,0.264341184701493,0.27689015858209,21440,1.1,Abandonment
10,4.58359589402531,SC_Scaffolding,0.25329466239251,0.247108583931206,0.259279753727166,19653,1.1,Abandonment
7,0.861759087300788,Physical_Terminal,0.227755209015856,0.224223152273621,0.231001015594286,61048,1.1,Abandonment
6,0.126166102556859,Physical_Terminal,0.189572139765356,0.186827370522089,0.192085397978485,86173,1.1,Abandonment
5,-0.57205401518073,Physical_Terminal,0.167302427859803,0.164833617555984,0.169927747610286,89132,1.1,Abandonment
4,-1.30164794064186,Physical_Terminal,0.13612340480385,0.13399029991836,0.138295449662699,93092,1.1,Abandonment
3,-2.06803862642912,Physical_Terminal,0.126903890038741,0.124594677068407,0.129637000477631,75372,1.1,Abandonment
8,1.68512074777628,Physical_Terminal,0.306081668114683,0.301100492325514,0.311093252244425,34530,1.1,Abandonment
9,2.60985316263842,Physical_Terminal,0.33152535921591,0.32605147968408,0.338406365972024,21018,1.1,Abandonment
2,-2.88282979680337,Physical_Terminal,0.160655266561288,0.157411779196518,0.163755055118757,48713,1.1,Abandonment
1,-4.68844749231167,Physical_Terminal,0.210827236016153,0.206326216464756,0.215587141657671,25011,1.1,Abandonment
10,4.58359589402531,Physical_Terminal,0.371674378253326,0.363828441295547,0.380170980335454,13832,1.1,Abandonment
7,0.861759087300788,SC_Specialized,0.314341644343705,0.303469503399959,0.322643210385329,9706,1.25,Abandonment
6,0.126166102556859,SC_Specialized,0.332066869300912,0.323792637622425,0.340807581898007,11844,1.25,Abandonment
8,1.68512074777628,SC_Specialized,0.337061318935596,0.32562025967348,0.347927111453914,7779,1.25,Abandonment
5,-0.57205401518073,SC_Specialized,0.306379751635226,0.296895440326097,0.314631718646317,10549,1.25,Abandonment
4,-1.30164794064186,SC_Specialized,0.308400326226261,0.29860771292089,0.31708318769661,8583,1.25,Abandonment
3,-2.06803862642912,SC_Specialized,0.333952336737852,0.322493036211699,0.345403899721449,6462,1.25,Abandonment
9,2.60985316263842,SC_Specialized,0.331390977443609,0.319262218045113,0.344497180451128,5320,1.25,Abandonment
2,-2.88282979680337,SC_Specialized,0.320578231292517,0.305697278911565,0.332382015306122,4704,1.25,Abandonment
10,4.58359589402531,SC_Specialized,0.405422249922094,0.389841071985042,0.421626674976628,3209,1.25,Abandonment
4,-1.30164794064186,SC_Scaffolding,0.324231464737794,0.312296564195298,0.336898734177215,5530,1.25,Abandonment
5,-0.57205401518073,SC_Scaffolding,0.297403733955659,0.28776983663944,0.308926487747958,6856,1.25,Abandonment
3,-2.06803862642912,SC_Scaffolding,0.371398909940306,0.356728523228653,0.386711653257202,3853,1.25,Abandonment
2,-2.88282979680337,SC_Scaffolding,0.460947503201024,0.440460947503201,0.479524114383269,2343,1.25,Abandonment
6,0.126166102556859,SC_Scaffolding,0.281756756756757,0.271138513513514,0.291081081081081,7400,1.25,Abandonment
1,-4.68844749231167,SC_Scaffolding,0.615283267457181,0.587928194993412,0.638685770750988,1518,1.25,Abandonment
7,0.861759087300788,SC_Scaffolding,0.266281151039515,0.256295607875534,0.27675203084125,7263,1.25,Abandonment
8,1.68512074777628,SC_Scaffolding,0.262706377468436,0.253071382324377,0.27323567497572,6178,1.25,Abandonment
9,2.60985316263842,SC_Scaffolding,0.257334257334257,0.243924693924694,0.269941094941095,4329,1.25,Abandonment
10,4.58359589402531,SC_Scaffolding,0.259812050856827,0.24639994472084,0.274329740187949,3618,1.25,Abandonment
8,1.68512074777628,Physical_Terminal,0.335866983372922,0.330160992346266,0.342809448403273,18945,1.25,Abandonment
6,0.126166102556859,Physical_Terminal,0.215060753811624,0.211947991641514,0.218264840182648,64605,1.25,Abandonment
7,0.861759087300788,Physical_Terminal,0.250269185591229,0.245972616483947,0.25444339761159,40864,1.25,Abandonment
10,4.58359589402531,Physical_Terminal,0.377007607776839,0.365680473372781,0.388503803888419,5915,1.25,Abandonment
9,2.60985316263842,Physical_Terminal,0.33636180092873,0.326718655360388,0.345956995760145,9906,1.25,Abandonment
5,-0.57205401518073,Physical_Terminal,0.194113745647488,0.191162327972144,0.197613165312552,60310,1.25,Abandonment
4,-1.30164794064186,Physical_Terminal,0.184631619753193,0.181098572136196,0.188249736179011,46433,1.25,Abandonment
3,-2.06803862642912,Physical_Terminal,0.190673927842069,0.186432096664398,0.195014465622873,29380,1.25,Abandonment
2,-2.88282979680337,Physical_Terminal,0.217373643590785,0.211128358382174,0.223381013172402,17233,1.25,Abandonment
1,-4.68844749231167,SC_Specialized,0.419031719532554,0.400492487479132,0.435233722871452,2995,1.25,Abandonment
