gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,atc_f,thr_label
10,4.58359589402531,SC_Specialized,0.0255374747594726,0.024310092251653,0.0270429979807578,50514,1.25,General socio-cognitive,RCA ≥ 1.25
4,-1.30164794064186,SC_Scaffolding,0.0310987824084427,0.0302989498927054,0.0318102336690949,210169,1.25,Specialized socio-cognitive,RCA ≥ 1.25
5,-0.57205401518073,SC_Scaffolding,0.0336008533550058,0.0327215929293442,0.0343507136689186,196870,1.25,Specialized socio-cognitive,RCA ≥ 1.25
3,-2.06803862642912,SC_Scaffolding,0.0289012616846299,0.0281299484088471,0.0296626142922818,195770,1.25,Specialized socio-cognitive,RCA ≥ 1.25
2,-2.88282979680337,SC_Scaffolding,0.0234653884111095,0.0227854222472861,0.0242213449880164,177325,1.25,Specialized socio-cognitive,RCA ≥ 1.25
1,-4.68844749231167,SC_Scaffolding,0.0161884245862931,0.0156485228801988,0.0167457027225539,202861,1.25,Specialized socio-cognitive,RCA ≥ 1.25
6,0.126166102556859,SC_Scaffolding,0.0339568485320231,0.0330869475322906,0.0348097224587093,164444,1.25,Specialized socio-cognitive,RCA ≥ 1.25
7,0.861759087300788,SC_Scaffolding,0.0345634720976527,0.0336516235352453,0.0355152436578945,137139,1.25,Specialized socio-cognitive,RCA ≥ 1.25
8,1.68512074777628,SC_Scaffolding,0.0339942460090776,0.032840851258296,0.0351421879706276,96281,1.25,Specialized socio-cognitive,RCA ≥ 1.25
9,2.60985316263842,SC_Scaffolding,0.0350625674790704,0.0337351103559355,0.03651480557178,56499,1.25,Specialized socio-cognitive,RCA ≥ 1.25
10,4.58359589402531,SC_Scaffolding,0.0326751054852321,0.0306835443037975,0.0347341772151899,29625,1.25,Specialized socio-cognitive,RCA ≥ 1.25
9,2.60985316263842,Physical_Terminal,0.0126231314746043,0.0124467203001596,0.0128128194674559,1304906,1.25,Physical-sensory,RCA ≥ 1.25
7,0.861759087300788,Physical_Terminal,0.0850195892984718,0.0844792628016892,0.0856483917961391,786654,1.25,Physical-sensory,RCA ≥ 1.25
8,1.68512074777628,Physical_Terminal,0.0394897357461394,0.0391234152139461,0.0398676887922456,1085320,1.25,Physical-sensory,RCA ≥ 1.25
6,0.126166102556859,Physical_Terminal,0.116907093907438,0.116132945092336,0.117702817766637,607183,1.25,Physical-sensory,RCA ≥ 1.25
5,-0.57205401518073,Physical_Terminal,0.128553270588581,0.127427501891894,0.129611078048888,408321,1.25,Physical-sensory,RCA ≥ 1.25
3,-2.06803862642912,Physical_Terminal,0.103086041621827,0.101372079932451,0.104933279250344,120802,1.25,Physical-sensory,RCA ≥ 1.25
4,-1.30164794064186,Physical_Terminal,0.118374550527923,0.117113277966296,0.119689077553464,227211,1.25,Physical-sensory,RCA ≥ 1.25
2,-2.88282979680337,Physical_Terminal,0.0893113614029783,0.0872751152770429,0.0911507546551768,79374,1.25,Physical-sensory,RCA ≥ 1.25
10,4.58359589402531,Physical_Terminal,0.00314344956630103,0.00305719136887895,0.0032390597128485,1339293,1.25,Physical-sensory,RCA ≥ 1.25
1,-4.68844749231167,Physical_Terminal,0.0787049804202747,0.0766091224973802,0.0810862610997739,54393,1.25,Physical-sensory,RCA ≥ 1.25
