skill_name,mean_shift,se_shift,ci_lo,ci_hi,n_events,archetype,domain,zone
Extent Flexibility,1.09094539283219,0.0134322593877289,1.06461816443224,1.11727262123213,10017,Physical_Terminal,Physical,upward
Stamina,0.600681981335248,0.0143196850122157,0.572615398711305,0.62874856395919,11144,Physical_Terminal,Physical,upward
Arm-Hand Steadiness,1.43461070559611,0.0171610986678972,1.40097495220703,1.46824645898519,9864,Physical_Terminal,Physical,upward
Manual Dexterity,1.70500438981563,0.0179520806799505,1.66981831168292,1.74019046794833,6834,Physical_Terminal,Physical,upward
Gross Body Coordination,0.840419501133787,0.0123288669152912,0.816254921979816,0.864584080287757,14112,Physical_Terminal,Physical,upward
Gross Body Equilibrium,0.465204678362573,0.0107607737894992,0.444113561735155,0.486295794989992,20520,Physical_Terminal,Physical,upward
Trunk Strength,0.892637178051512,0.0153339906366305,0.862582556403716,0.922691799699308,7144,Physical_Terminal,Physical,upward
Hearing Sensitivity,0.377089136490251,0.0142432838483344,0.349172300147515,0.405005972832986,14360,Physical_Terminal,Physical,upward
Handling and Moving Objects,1.06330749354005,0.0129008380013511,1.0380218510574,1.0885931360227,13932,Physical_Terminal,Physical,upward
Static Strength,0.895743227862509,0.0155137029996114,0.86533636998327,0.926150085741747,8786,Physical_Terminal,Physical,upward
Dynamic Flexibility,0.260895055696697,0.0118813410661274,0.237607627207088,0.284182484186307,15351,Physical_Terminal,Physical,upward
Multilimb Coordination,1.45792079207921,0.0189418555862401,1.42079475513018,1.49504682902824,7272,Physical_Terminal,Physical,upward
Rate Control,0.921216617210682,0.01281227174762,0.896104564585347,0.946328669836018,13480,Physical_Terminal,Physical,upward
Control Precision,1.43582055126283,0.0173958992795166,1.40172458867498,1.46991651385068,8671,Physical_Terminal,Physical,upward
Installation,-0.571754729288976,0.0274457982798506,-0.625548493917483,-0.517960964660469,3066,Physical_Terminal,Physical,downward
