estimate,se,var,archetype,flow,panel,outcome,n,estimate_adj,outcome_role
-0.0939989926364371,0.0260560076172808,pc1_up,SC_General,abandonment,B,abandonment,18632210,-0.0939989926364371,standard
-0.0976869963535142,0.033577984554406,pc1_up,SC_Specialized,abandonment,B,abandonment,18632210,-0.0976869963535142,standard
0.167009532451558,0.0341945203812276,pc1_down,Physical_Terminal,abandonment,B,abandonment,18632210,0.167009532451558,standard
-0.0464257309048903,0.0174818276692326,pc1_down,SC_General,abandonment,B,abandonment,18632210,-0.0464257309048903,standard
-0.0997816929130684,0.0237352228797203,pc1_down,SC_Specialized,abandonment,B,abandonment,18632210,-0.0997816929130684,standard
2.31334996391854,0.321900353912953,structural_distance,Physical_Terminal,abandonment,B,abandonment,18632210,2.31334996391854,standard
0.999120778436264,0.152312914671978,structural_distance,SC_General,abandonment,B,abandonment,18632210,0.999120778436264,standard
1.67600795241753,0.231312390185426,structural_distance,SC_Specialized,abandonment,B,abandonment,18632210,1.67600795241753,standard
0.211254494232379,0.0455567249011637,pc1_dummy,Physical_Terminal,abandonment,B,abandonment_fixed_denom,18181614,0.211254494232379,fixed_denom
-0.00794067197956818,0.0175743849137018,pc1_dummy,SC_General,abandonment,B,abandonment_fixed_denom,18181614,-0.00794067197956818,fixed_denom
-0.0362581072428422,0.0265965829262537,pc1_dummy,SC_Specialized,abandonment,B,abandonment_fixed_denom,18181614,-0.0362581072428422,fixed_denom
0.194380816042828,0.0407790443907765,pc1_up,Physical_Terminal,abandonment,B,abandonment_fixed_denom,18181614,0.194380816042828,fixed_denom
-0.096189105503085,0.0271116039532783,pc1_up,SC_General,abandonment,B,abandonment_fixed_denom,18181614,-0.096189105503085,fixed_denom
-0.101606969153048,0.0311289325417209,pc1_up,SC_Specialized,abandonment,B,abandonment_fixed_denom,18181614,-0.101606969153048,fixed_denom
0.171178187801307,0.0359190836538843,pc1_down,Physical_Terminal,abandonment,B,abandonment_fixed_denom,18181614,0.171178187801307,fixed_denom
-0.0540272561016677,0.01857204876842,pc1_down,SC_General,abandonment,B,abandonment_fixed_denom,18181614,-0.0540272561016677,fixed_denom
-0.0987087957480585,0.0245526799123887,pc1_down,SC_Specialized,abandonment,B,abandonment_fixed_denom,18181614,-0.0987087957480585,fixed_denom
2.31707629631723,0.335896870378666,structural_distance,Physical_Terminal,abandonment,B,abandonment_fixed_denom,18181614,2.31707629631723,fixed_denom
1.03490400976148,0.157757794333963,structural_distance,SC_General,abandonment,B,abandonment_fixed_denom,18181614,1.03490400976148,fixed_denom
1.6520527048821,0.224252352219694,structural_distance,SC_Specialized,abandonment,B,abandonment_fixed_denom,18181614,1.6520527048821,fixed_denom
0.00341750575696416,0.0109942507494111,pc1_dummy,Physical_Terminal,abandonment,B,delta_importance,18632210,-0.00341750575696416,delta_importance
-0.00153494929963705,0.00575609871289488,pc1_dummy,SC_General,abandonment,B,delta_importance,18632210,0.00153494929963705,delta_importance
