gap_bin,gap_mid,atc_archetype,rate,ci_lo,ci_hi,n,threshold,flow
9,2.60985316263842,SC_Specialized,0.110526173374743,0.10950996515428,0.111541254145258,332609,1,Adoption
10,4.58359589402531,SC_Specialized,0.102337595386028,0.101123420525516,0.103634603715021,186217,1,Adoption
4,-1.30164794064186,SC_General,0.119119308577191,0.118409695754315,0.119825345523581,692138,1,Adoption
5,-0.57205401518073,SC_General,0.123475936969146,0.122709445388186,0.124247581613868,703465,1,Adoption
3,-2.06803862642912,SC_General,0.109348527941573,0.108687720760312,0.110144799383688,619167,1,Adoption
2,-2.88282979680337,SC_General,0.0915540307251707,0.0907447419398217,0.0923312914093818,550298,1,Adoption
6,0.126166102556859,SC_General,0.126142431531653,0.12534643223266,0.126861312340354,644787,1,Adoption
1,-4.68844749231167,SC_General,0.0776779741144779,0.0769978324666173,0.0783044180217467,560545,1,Adoption
7,0.861759087300788,SC_General,0.132292355873142,0.131442591857439,0.133177671915663,566775,1,Adoption
8,1.68512074777628,SC_General,0.136285231423431,0.135386687019572,0.1372385106035,458575,1,Adoption
9,2.60985316263842,SC_General,0.135471420748545,0.134338148520157,0.136635660299453,341489,1,Adoption
10,4.58359589402531,SC_General,0.127916006157098,0.126493096239116,0.129366944655042,217635,1,Adoption
10,4.58359589402531,Physical_Terminal,0.0257673704592266,0.0255469370752366,0.0259817409608813,2074096,1,Adoption
8,1.68512074777628,Physical_Terminal,0.0956008291791357,0.0951890586452106,0.0960191409664743,1826867,1,Adoption
9,2.60985316263842,Physical_Terminal,0.0521209244470794,0.051836150507354,0.052408113911452,2132042,1,Adoption
7,0.861759087300788,Physical_Terminal,0.143276856210474,0.14267839361377,0.143833626450132,1318587,1,Adoption
4,-1.30164794064186,Physical_Terminal,0.196237417357862,0.195149934562861,0.197430984432515,472973,1,Adoption
6,0.126166102556859,Physical_Terminal,0.173458287343132,0.172748777548089,0.174232390770575,1004743,1,Adoption
5,-0.57205401518073,Physical_Terminal,0.190169101917888,0.189265545773952,0.191143486447169,733463,1,Adoption
3,-2.06803862642912,Physical_Terminal,0.208320184020253,0.206885681625325,0.209700248259031,285186,1,Adoption
2,-2.88282979680337,Physical_Terminal,0.229134240431122,0.226988530178017,0.23089557775881,179253,1,Adoption
1,-4.68844749231167,Physical_Terminal,0.230139546046767,0.227764777480628,0.23245474182267,116664,1,Adoption
4,-1.30164794064186,SC_Specialized,0.0652369540606182,0.0647059724744306,0.065855706862685,620078,1.1,Adoption
5,-0.57205401518073,SC_Specialized,0.0782726252163295,0.077577313897225,0.0789106591191252,588801,1.1,Adoption
3,-2.06803862642912,SC_Specialized,0.0501396694344653,0.0496037610422603,0.0506990014638683,573139,1.1,Adoption
2,-2.88282979680337,SC_Specialized,0.031711503039146,0.0312352019017759,0.0321698512142298,524983,1.1,Adoption
1,-4.68844749231167,SC_Specialized,0.0195080312957894,0.0191621913964226,0.0198633314671975,578736,1.1,Adoption
6,0.126166102556859,SC_Specialized,0.0817306437723441,0.0809312226877009,0.0824112306367467,498173,1.1,Adoption
7,0.861759087300788,SC_Specialized,0.0860816817818879,0.0852605141161469,0.0869745921273731,419555,1.1,Adoption
8,1.68512074777628,SC_Specialized,0.0861702934263401,0.085181148431774,0.0872033512775798,316536,1.1,Adoption
9,2.60985316263842,SC_Specialized,0.0849266063404833,0.0837411824507392,0.0861261766722773,208533,1.1,Adoption
10,4.58359589402531,SC_Specialized,0.079155672823219,0.0775141476328811,0.0806859269919956,112563,1.1,Adoption
4,-1.30164794064186,SC_General,0.0665915131798429,0.0658499357851977,0.067292806415811,458617,1.1,Adoption
5,-0.57205401518073,SC_General,0.0740800541797575,0.0733257759747759,0.0748471148606374,445923,1.1,Adoption
3,-2.06803862642912,SC_General,0.0568303707790409,0.0561629377236123,0.0574912330966289,422327,1.1,Adoption
1,-4.68844749231167,SC_General,0.0355544767354905,0.0349475791522926,0.0361282128610063,407853,1.1,Adoption
2,-2.88282979680337,SC_General,0.0458045012108184,0.0451255406840209,0.0464242937764458,382386,1.1,Adoption
6,0.126166102556859,SC_General,0.0789873925899619,0.0781381488029523,0.0799383526214612,388581,1.1,Adoption
7,0.861759087300788,SC_General,0.0848248701690641,0.0839298733662816,0.0857198669718466,334666,1.1,Adoption
8,1.68512074777628,SC_General,0.0877810493567512,0.0866877048594852,0.0888747906762645,252002,1.1,Adoption
9,2.60985316263842,SC_General,0.0870180047452533,0.0856883575625255,0.0883977965931212,169011,1.1,Adoption
10,4.58359589402531,SC_General,0.0867117003068634,0.0851105417202581,0.0882814636270648,98741,1.1,Adoption
8,1.68512074777628,Physical_Terminal,0.0671257147197701,0.06676406180918,0.0674925452301484,1540289,1.1,Adoption
6,0.126166102556859,Physical_Terminal,0.151615126803652,0.15080308776391,0.152352236966455,821112,1.1,Adoption
7,0.861759087300788,Physical_Terminal,0.119276243332046,0.118733315787495,0.119848355352749,1090477,1.1,Adoption
4,-1.30164794064186,Physical_Terminal,0.159103184426691,0.157772307865421,0.160189180825926,355480,1.1,Adoption
5,-0.57205401518073,Physical_Terminal,0.164060614050256,0.163128264699387,0.165010768906793,584089,1.1,Adoption
3,-2.06803862642912,Physical_Terminal,0.153952522488829,0.152529132137866,0.155620977107651,203212,1.1,Adoption
9,2.60985316263842,Physical_Terminal,0.0278504688185881,0.0276116426236391,0.0281087893601765,1833865,1.1,Adoption
